year,POP,industrial_output,food_per_capita,NR,PPOL,life_expectancy,human_welfare_index,ecological_footprint
1969.0,3744173340.62114,584481648671.4253,394.23939327872597,936113670342.7915,329731421.29615176,43.19985876257855,0.37379252339175456,14.987908242277095
1970.0,3808625785.9312835,606850586245.3997,394.74932004187275,933629623335.938,336926222.6506581,43.56012747402938,0.3781947885257965,15.260543407058647
1971.0,3874203749.5513096,630160848456.2999,395.08481081245753,931050508344.395,344357501.6392777,43.82132415067968,0.3823852418522563,15.538675390810601
1972.0,3940924477.3548517,654372066919.4291,396.0609531517244,928372324738.4556,352031210.9185548,44.08297141627334,0.38663571215731657,15.822429640866313
1973.0,4008957461.3942523,679523608626.4744,397.31617731710486,925591243454.0479,359950939.4981813,44.39627599935657,0.39109115567991004,16.112540681187202
1974.0,4078435127.7138987,705692025381.7157,398.59005095003744,922703268117.3853,368118842.87368923,44.74165582402476,0.3956991916721839,16.409593346540408
1975.0,4149421976.1205173,732936074471.5917,399.8447300103633,919704077009.5132,376536541.85384345,45.11648117874328,0.4004557618837274,16.713899582435324
1976.0,4221950766.7385163,761303327407.0558,401.12425123435287,916589098693.0088,385205720.5963779,45.50141417102059,0.4053059792879594,17.02564481232533
1977.0,4296065111.444962,790841215991.2135,402.45742908738623,913353559551.5288,394128520.24484193,45.89976382236842,0.4102607709621756,17.345060553289724
1978.0,4371851847.873747,821601953930.4303,403.84398606274505,909992484383.5659,403307837.546134,46.31390343015487,0.4153270164753852,17.67255657153555
1979.0,4449625735.409318,853643983083.1108,405.2552576974804,906500676079.3618,412747562.7716668,46.74960548706104,0.4205125976061961,18.00947042318194
1980.0,4529500501.53631,887043940904.043,406.68764825885285,902872689151.2588,422452756.54615223,47.206130032976304,0.42581765565327123,18.35633590325625
1981.0,4611569788.540805,921828390311.7809,408.14493898703984,899102752402.4165,432429770.34992486,47.68374119219261,0.4312446662727363,18.713613100639545
1982.0,4695924513.246665,957946984197.6002,409.6236392188366,895184981743.5913,442686326.0312256,48.18272532577752,0.4358477359496133,19.081759181648554
1983.0,4782358921.16752,995498964947.2721,410.9517873609481,891029277693.7842,453231579.8822456,48.57303747549071,0.4401769031529388,19.460032928929532
1984.0,4870637234.1864605,1034570024947.9791,412.1732324343775,886622784779.5464,464076248.6820284,48.964188569738006,0.44459494703363106,19.847573418199033
1985.0,4960814844.392015,1075207247119.3062,413.4004699268505,881953870572.0195,475232623.5166375,49.363412823067435,0.44911851892021515,20.24471035152275
1986.0,5052973589.762183,1117471172291.9585,408.90997204453043,877010540519.6782,486713766.97030795,49.77900004202768,0.45376864973968334,20.651891202691253
1987.0,5145431929.570758,1161436538075.0408,403.0766746029076,871780343992.9097,498528416.48014116,49.81210215971179,0.45738470572175743,21.062353908437572
1988.0,5237874639.692244,1206672075203.715,398.15695854367056,866248663021.3667,510673835.8764744,49.7635770398723,0.46083419211835225,21.47488668240037
1989.0,5330558131.133699,1253147378733.5374,393.8274256249024,860404369539.0571,523133617.2864901,49.79025183965381,0.4645789818167406,21.89058516492569
1990.0,5423629829.158034,1301011609884.549,389.78829052740497,854236832293.1592,535879801.84967554,49.870487811326434,0.4685576905750203,22.310062271906517
1991.0,5517044372.169726,1350360611783.2722,385.90839823084224,847734247552.9116,548876406.0666342,49.984196695885814,0.47271454423047227,22.73310243216364
1992.0,5610408187.292588,1401246787814.3308,382.1761468868127,840883932134.7607,562082873.9617702,50.077537240320325,0.4768934164083039,23.15802125154561
1993.0,5703583613.746075,1453679477487.197,378.1030769187818,833672390109.9487,575456906.6042238,50.064848477643636,0.48081977730352504,23.584159530021193
1994.0,5796458184.821877,1507676272882.112,372.2867920091046,826085919934.3071,588956022.5754172,50.03577263581518,0.4847755117811849,24.01094441151996
1995.0,5888470534.732557,1563219840690.075,366.8268044074266,818110564912.9282,602536867.1273607,49.886708121958186,0.48843446420931197,24.435927471007528
